1376.85 11.02103    10
1377.43 11.02181    10
1378.02 11.02735    10
1378.6 11.02986    10
1379.18 11.02592    10
1379.77 11.02031    10
1380.35 11.03265    10
1380.94 11.02578    10
1381.52 11.02948    10
1382.1 11.02582    10
1382.69 11.02456    10
1383.27 11.02423    10
1383.85 11.03357    10
1384.44 11.03393    10
1385.02 11.03247    10
1385.61 11.03313    10
1386.19 11.03367    10
1386.77 11.03127    10
1387.36 11.03228    10
1387.94 11.03073    10
1388.53 11.03673    10
1389.11 11.03153    10
1389.69 11.03407    10
1390.28 11.03815    10
1390.86 11.03704    10
1391.44 11.03423    10
1392.03 11.03547    10
1392.61 11.03753    10
1393.2 11.04535    10
1393.78 11.03791    10
1394.36 11.04329    10
1394.95 11.04404    10
1395.53 11.04273    10
1396.12 11.04024    10
1396.7 11.04401    10
1397.28 11.04469    10
1397.87 11.03716    10
1398.45 11.03844    10
1399.04 11.04012    10
1399.62 11.04417    10
1400.2 11.03924    10
1400.79 11.04552    10
1401.37 11.04519    10
1401.95 11.0445    10
1402.54 11.042    10
1403.12 11.04546    10
1403.71 11.0463    10
1404.29 11.04448    10
1404.87 11.04874    10
1405.46 11.0484    10
1406.04 11.05045    10
1406.62 11.05622    10
1407.21 11.05479    10
1407.79 11.05233    10
1408.38 11.05293    10
1408.96 11.04886    10
1409.54 11.05511    10
1410.13 11.05065    10
1410.71 11.04997    10
1411.3 11.04828    10
1411.88 11.04864    10
1412.46 11.05251    10
1413.05 11.05376    10
1413.63 11.05392    10
1414.21 11.05366    10
1414.8 11.05323    10
1415.38 11.05788    10
1415.97 11.06    10
1416.55 11.06214    10
1417.13 11.05822    10
1417.72 11.06088    10
1418.3 11.06373    10
1418.89 11.06443    10
1419.47 11.06135    10
1420.05 11.06979    10
1420.64 11.069    10
1421.22 11.07227    10
1421.8 11.07138    10
1422.39 11.0752    10
1422.97 11.07535    10
1423.56 11.07064    10
1424.14 11.07389    10
1424.72 11.07165    10
1425.31 11.06993    10
1425.89 11.07046    10
1426.48 11.06474    10
1427.06 11.06917    10
1427.64 11.0703    10
1428.23 11.07027    10
1428.81 11.06863    10
1429.39 11.0708    10
1429.98 11.07056    10
1430.56 11.07533    10
1431.15 11.07504    10
1431.73 11.07636    10
1432.31 11.0746    10
1432.9 11.07293    10
1433.48 11.07984    10
1434.06 11.07913    10
1434.65 11.07619    10
1435.23 11.07266    10
1435.82 11.07641    10
1436.4 11.07859    10
1436.98 11.07955    10
1437.57 11.07793    10
1438.15 11.078    10
1438.74 11.08124    10
1439.32 11.08727    10
1439.9 11.08083    10
1440.49 11.08691    10
1441.07 11.08508    10
1441.65 11.08155    10
1442.24 11.08601    10
